analysis_level,State,Region,transaction_count,revenue,profit,unique_customers,unique_orders,avg_order_value,profit_margin_pct,revenue_share_pct,profit_share_pct,revenue_per_customer
State Level,Georgia,South,184,49095.84,16250.08,83,91.00,266.83,33.10,2.14,5.67,591.52
State Level,Kentucky,South,139,36591.75,11199.70,58,61.00,263.25,30.61,1.59,3.91,630.89
State Level,New Jersey,East,130,35764.32,9772.91,61,61.00,275.11,27.33,1.56,3.41,586.30
State Level,Arizona,West,224,35282.02,-3427.87,100,108.00,157.51,-9.72,1.54,-1.20,352.82
State Level,Wisconsin,Central,110,32114.61,8401.78,52,53.00,291.95,26.16,1.40,2.93,617.59
State Level,Colorado,West,182,32108.12,-6527.86,75,79.00,176.42,-20.33,1.40,-2.28,428.11
State Level,Tennessee,South,183,30661.92,-5341.66,84,91.00,167.55,-17.42,1.33,-1.87,365.02
State Level,Minnesota,Central,89,29863.15,10823.22,42,44.00,335.54,36.24,1.30,3.78,711.03
State Level,Massachusetts,East,135,28634.44,6785.55,62,62.00,212.11,23.70,1.25,2.37,461.85
State Level,Delaware,East,96,27451.07,9977.37,43,44.00,285.95,36.35,1.19,3.48,638.40
State Level,Maryland,East,105,23705.52,7031.20,45,46.00,225.77,29.66,1.03,2.46,526.79
State Level,Rhode Island,East,56,22627.96,7285.64,25,25.00,404.07,32.20,0.99,2.54,905.12
State Level,Missouri,Central,66,22205.15,6436.19,28,30.00,336.44,28.99,0.97,2.25,793.04
State Level,Oklahoma,Central,66,19683.39,4853.98,34,34.00,298.23,24.66,0.86,1.69,578.92
State Level,Alabama,South,61,19510.64,5786.85,34,34.00,319.85,29.66,0.85,2.02,573.84
State Level,Oregon,West,124,17431.14,-1190.48,51,56.00,140.57,-6.83,0.76,-0.42,341.79
State Level,Nevada,West,39,16729.10,3316.76,23,23.00,428.95,19.83,0.73,1.16,727.35
State Level,Connecticut,East,82,13384.36,3511.44,43,45.00,163.22,26.24,0.58,1.23,311.26
State Level,Arkansas,South,60,11678.13,4008.65,27,27.00,194.64,34.33,0.51,1.40,432.52
State Level,Utah,West,53,11220.06,2546.56,26,26.00,211.70,22.70,0.49,0.89,431.54
State Level,Mississippi,South,53,10771.34,3172.98,25,26.00,203.23,29.46,0.47,1.11,430.85
State Level,Louisiana,South,42,9217.03,2196.09,21,21.00,219.45,23.83,0.40,0.77,438.91
State Level,Vermont,East,11,8929.37,2244.98,5,6.00,811.76,25.14,0.39,0.78,1785.87
State Level,South Carolina,South,42,8481.71,1769.08,19,20.00,201.95,20.86,0.37,0.62,446.41
State Level,Nebraska,Central,38,7464.93,2037.10,23,23.00,196.45,27.29,0.32,0.71,324.56
State Level,New Hampshire,East,27,7292.52,1706.50,17,17.00,270.09,23.40,0.32,0.60,428.97
State Level,Montana,West,15,5589.35,1833.32,8,8.00,372.62,32.80,0.24,0.64,698.67
State Level,New Mexico,West,37,4783.54,1157.13,22,22.00,129.28,24.19,0.21,0.40,217.43
State Level,Iowa,Central,30,4579.76,1183.81,17,17.00,152.66,25.85,0.20,0.41,269.40
State Level,Idaho,West,21,4382.49,826.73,11,11.00,208.69,18.86,0.19,0.29,398.41
State Level,Kansas,Central,24,2914.31,836.45,14,14.00,121.43,28.70,0.13,0.29,208.17
State Level,District of Columbia,East,10,2865.02,1059.59,4,4.00,286.50,36.98,0.12,0.37,716.26
State Level,Wyoming,West,1,1603.14,100.20,1,1.00,1603.14,6.25,0.07,0.03,1603.14
State Level,South Dakota,Central,12,1315.56,394.84,5,5.00,109.63,30.01,0.06,0.14,263.11
State Level,Maine,East,8,1270.53,454.50,3,3.00,158.82,35.77,0.06,0.16,423.51
State Level,West Virginia,East,4,1209.82,185.93,2,2.00,302.45,15.37,0.05,0.06,604.91
State Level,North Dakota,Central,7,919.91,230.14,2,2.00,131.42,25.02,0.04,0.08,459.96
